date,open,high,low,close,volume
1980-12-12,0.09905772656202316,0.09948838842849832,0.09905772656202316,0.09905772656202316,469033600
1980-12-15,0.09432048691542619,0.09432048691542619,0.09388982504606247,0.09388982504606247,175884800
1980-12-16,0.0874291934334739,0.0874291934334739,0.08699853718280792,0.08699853718280792,105728000
1980-12-17,0.08915181457996368,0.08958247650673355,0.08915181457996368,0.08915181457996368,86441600
1980-12-18,0.0917365550994873,0.09216721132254575,0.0917365550994873,0.0917365550994873,73449600
1980-12-19,0.09733512997627258,0.09776579201698381,0.09733512997627258,0.09733512997627258,48630400
1980-12-22,0.10207236558198929,0.10250379806047173,0.10207236558198929,0.10207236558198929,37363200
1980-12-23,0.1063796877861023,0.10681034959168245,0.1063796877861023,0.1063796877861023,46950400
1980-12-24,0.11197827756404877,0.11240893944965186,0.11197827756404877,0.11197827756404877,48003200
1980-12-26,0.12231487780809402,0.12274553974107026,0.12231487780809402,0.12231487780809402,55574400
1980-12-29,0.12403746694326401,0.12446812871272098,0.12403746694326401,0.12403746694326401,93161600
1980-12-30,0.12145351547219789,0.12145351547219789,0.12102286517620087,0.12102286517620087,68880000
1980-12-31,0.1180082892204721,0.1180082892204721,0.11757762730121613,0.11757762730121613,35750400
1981-01-02,0.11886958032846451,0.11973090401314519,0.11886958032846451,0.11886958032846451,21660800
1981-01-05,0.11671630981492846,0.11671630981492846,0.11628565937280655,0.11628565937280655,35728000
1981-01-06,0.11154759263905242,0.11154759263905242,0.1111169308423996,0.1111169308423996,45158400
1981-01-07,0.10681034959168245,0.10681034959168245,0.1063796877861023,0.1063796877861023,55686400
1981-01-08,0.10465706821097963,0.10465706821097963,0.10422641783952713,0.10422641783952713,39827200
1981-01-09,0.10982499271631241,0.11025565465320557,0.10982499271631241,0.10982499271631241,21504000
1981-01-12,0.10982492805846977,0.10982492805846977,0.10896361619234085,0.10896361619234085,23699200
1981-01-13,0.10551840413115328,0.10551840413115328,0.10508774220943451,0.10508774220943451,23049600
1981-01-14,0.1055184006690979,0.10594906257668668,0.1055184006690979,0.1055184006690979,14291200
1981-01-15,0.10767168551683426,0.10853299772593054,0.10767168551683426,0.10767168551683426,14067200
1981-01-16,0.10724101551847653,0.10724101551847653,0.10681035369634628,0.10681035369634628,13395200
1981-01-19,0.11327026039361954,0.11370092231219928,0.11327026039361954,0.11327026039361954,41574400
1981-01-20,0.11025565465320557,0.11025565465320557,0.10982499271631241,0.10982499271631241,30083200
1981-01-21,0.11197827756404877,0.11283958983468385,0.11197827756404877,0.11197827756404877,15904000
